post_title,post_content,movie_link_1,movie_content_1,movie_link_2,movie_content_2,movie_link_3,movie_content_3,movie_link_4,movie_content_4,user_id
平日忙しい人にぴったり！作り置きおかず,平日忙しい人にピッタリの作り置きおかずをまとめてみました。,https://youtu.be/nOSiP5GIfe8,毎週金曜日に動画をアップしてくれます。,https://youtu.be/CbIkxbz2mZ0,とってもわかりやすく説明してくれています。,https://youtu.be/V-algc2lPeQ,糖質オフ献立作り置きおかずの動画です。とってもわかりやすくまとめられています。,https://youtu.be/c3rCn1aahJo,野菜たっぷりの献立になっています。,5
痩せるストレッチ（お腹周り）,痩せるストレッチ（お腹周り）方法が学べます。 #ストレッチ,https://youtu.be/u2vnrTMJxgY,下腹が痩せない理由をしっかり解説してくれています。,https://youtu.be/dkrEy0L0TYk,ズボラストレッチ！なにやっても痩せなかった下腹部がやっとへこんできたようです。,https://youtu.be/qMXXLIZUl7U,痩せるナイトルーティンストレッチ！ 寝る前にやれば熟睡できる！,https://youtu.be/-XfX8MpwjAQ,痩せるストレッチ！スッキリ目覚める！ベッドの上で寝たまま出来るのがとてもありがたいです,3
痩せるストレッチ（太もも）,痩せるストレッチ（太もも）方法が学べます。 #ストレッチ,https://youtu.be/5YCUQLLpFc0,太くなったもも前の張りを徹底解消！下腹と太ももを細くする方法を教えてくれます。,https://youtu.be/x4T1FXpzjPk,太もも痩せる骨盤矯正 内ももすき間作る方法【ズボラストレッチでダイエット】,https://youtu.be/nQdwXorjC3U,1日4分で太もも痩せ！美尻と美脚をつくるストレッチダイエット【脚痩せ】【太もも痩せ】,https://youtu.be/vHZpgB6ckfQ,大転子を引っ込めて内ももの隙間を作る骨盤矯正ストレッチ,5
おすすめ洗濯洗剤！,おすすめの洗濯洗剤の比較をしている動画をまとめてみました。,https://youtu.be/a_-zs7G563A,茂木和哉氏が液体洗濯洗剤アリエールとアタックの比較をしてくれます。,https://youtu.be/KfVrxP067SM,液体洗濯洗剤のランキング！実証実験をしてくれています。,https://youtu.be/s4TZzBXwFLI,大手洗濯洗剤5社を徹底比較した動画です。,https://youtu.be/czysb5QxDLI,茂木和哉氏が大手ホームセンターで売っている洗濯洗剤を比較してくれとぃます。,5
おすすめ柔軟剤！,おすすめの柔軟剤の比較をしている動画をまとめてみました。,https://youtu.be/fvxZaYbEcwM,柔軟剤、計11種類を検証して、どれがいい香りか ランキングがまとめています。,https://youtu.be/WZGr7FzgrWo,美容師がタオルを洗濯して、香りのいい柔軟剤トップ３をまとめています。,https://youtu.be/E0BNSn9-Gi0,男性が教えてくれるいい香りの柔軟剤、ベスト５,https://youtu.be/awepoLC0mzE,最強の柔軟剤！ベスト５をおしえてくれます。,5
オキシクリーンを使って大掃除！,オキシクリーンを使って、お風呂、台所、リビング、玄関をきれいに掃除する動画です。,https://youtu.be/xVCbZS5W-wY,オキシクリーンを使って、お風呂を綺麗にします。,https://youtu.be/2T_rCEI2NA8,オキシクリーンを使って、ガスコンロに至るまで綺麗にします。,https://youtu.be/31D4ScCJzRI,オキシクリーンを使って、リビングの床、壁等、綺麗にします。,https://youtu.be/kjfU-vDto2Y,オキシクリーンを使って、玄関のタイルを綺麗にしています。,5
無印良品好きのユーザーが選ぶおすすめランキング,ムジラーおすすめの商品を紹介！お家時間を快適にすごせます！,https://youtu.be/PvSLCluR0IA,本当に買ってよかった無印良品のベスト１０アイテムをご紹介してくれています。,https://youtu.be/gWqX3GNnNUI,無印良品のおやつを紹介してくれています。,https://youtu.be/EH4dMEL989c,買って良かった無印良品のアイテム６つ紹介。10年以上愛用しているものも紹介してくれています。,https://youtu.be/iQDWu5tgC-s,無印良品のおススメのお茶を紹介してくれています。,5
市販のおすすめシャンプーは！,プロがおすすめのシャンプー紹介しています。自分のお気に入りを探しましょう！,https://youtu.be/dOF4Pz0HhA8,美容師がおすすめのシャンプーをランキングしてくれています。,https://youtu.be/fZw9T4cdgME,美容師がおすすめのシャンプーを本気で選んでくれています,https://youtu.be/-kMr1cb3X2Y,表参道の美容師がおすすめしてくれるシャンプーです。,https://youtu.be/sBq0q6LwbM8,ドラックストアーなど手軽に買える市販のシャンプーの中から、内容、価格、香り、使いやすさ、全てをトータルして決めました！,6
市販のおすすめトリートメントは！,プロがおすすめのトリートメント紹介しています。自分のお気に入りを探しましょう！,https://youtu.be/2AdYrhPiC40,市販で買えるトリートメントを紹介！トリートメント選びはツヤ髪を作るうえでとっても大切です。,https://youtu.be/yBd7wvrvxk8,美容師が本格的に選んだトリートメントをおしえてくれて教えてくれます。,https://youtu.be/gdgZaVeAgNA,美容師がトリートメントをランキング付けしてくれています。驚くべき結果です。,https://youtu.be/yBd7wvrvxk8,市販で買えるトリートメントのランキング！,6
ドラックストア買えるおすすめ化粧水は！,おすすめの人気化粧水を紹介します！,https://youtu.be/3dj1wdPXGXY,人気化粧水8種を徹底比較しています。スキンチェッカーで水分量を比較してくれています。,https://youtu.be/CxImfTSUmXs,皮膚科医が選んでくれる化粧水を紹介してくれています。,https://youtu.be/YIidQV-8zsM,1000円以下の化粧水の徹底比較をしてくれています。,https://youtu.be/8WBJasM8D7c,ドラックストアで買える人気化粧水の徹底比較をしてくれています。,6
おすすめハンドクリームは！,この冬おすすめのハンドクリームを紹介！きっと使ってみたくなります！,https://youtu.be/54v_OTtGDS0,皮膚科医が選んでくれるハンドクリーム3選です。,https://youtu.be/yKvpHoMQgh4,シャネルからドラックストアで買えるハンドクリームまで徹底比較してくれます。,https://youtu.be/MWld8dl9vdg,ロクシタンのハンドクリームを紹介してくれています。,https://youtu.be/7b0dXyJnMfg,美容師がおすすめするハンドクリームを紹介してくれています。,6
初心者おすすめ韓流ドラマ,初めての韓流ドラマを見る人、必見！のまとめサイトです。,https://youtu.be/G9n6ZwBMMTA,胸キュン間違いなしの韓国ドラマランキングです。,https://youtu.be/ySxC2THStN8,きばるん（韓国人）がおすすめする勧告ドラマのまとめサイトです。,https://youtu.be/UavJ3iNzhOw,初心者が見るべき韓国ドラマ！笑いあり涙あり！,https://youtu.be/CzAPrEcLDrg,ラブコメで絶対おすすめの韓国ドラマです。,6
芸能人がBTSのDynamiteを踊っている動画,何回も見てしまう芸能人のDynamiteを踊っている動画を集めてみました！,https://youtu.be/gdZLi9oWNZg,BTSのだんすはやっぱり凄い！,https://youtu.be/lPCCn5hAGJA,永島優美アナウンサーが元気に踊ってます。とってもキラキラしています。,https://youtu.be/dQs9PgH14XI,おばたのおにいさんがガチで踊っています。ものまねも見られます。,https://youtu.be/sntzaASiP6k,四千頭身が30分で練習して踊ってます。,6
松任谷由実のベスト4選,ユーミンのベスト4選です。 #J-POP,https://youtu.be/9HInQDjCCRc,ひこうき雲はユーミンが学生時代に仲良かった友人が重い病気で亡くなった時に16歳で書いた歌だそうです。,https://youtu.be/zWC1TxnDUwM,きみのためにスーパーマン！紅白歌合戦ではまりました！,https://youtu.be/drP4GpMEtd8,卒業写真は卒業ソングの中で一番好きな歌です。,https://youtu.be/0Td0iJMFNR4,ANNIVERSARY！JUJUのカバーはとっても素敵です。,4
松田聖子の赤いスイートピー4選,松田聖子の赤いスイートピー4選です。 #J-POP,https://youtu.be/COYNJQMiqz0,赤いスイートピー！歌詞がテロップに流れます。,https://youtu.be/CGnGd5-tSAo,徳永英明がカバーしています。男性の歌声も素敵です。,https://youtu.be/gOqS8kE7cLw,宮本浩次がカバーしています。熱量がすごい！,https://youtu.be/GqNebFR4PC0,松たか子がカバーしています。素敵な歌声です。,4
超ストレス解消法を教えてくれます。,イライラが一瞬で消えるストレス解消法を教えくれます。,https://youtu.be/7u8ZfZH-uG8,鈴木祐著書超ストレス解消法 イライラが一瞬で消える100の科学的メソッドの解説です。まとめ方がとってもわかりやすいです。,https://youtu.be/UnA0DJiSZkU,メンタリストDaiGOが鈴木佐氏と一緒に出ている動画です。,https://youtu.be/W1VgGUYHXV8,メンタリストDaiGoがストレス解消法を教えてくれています。,https://youtu.be/2VZ2wUqTOd0,メンタリストDaiGoが思い出しストレス解消法を教えてくれています。,1
男女の脳の違いの解説動画,男脳と女脳の違い知って、うまくいく人間関係活用術を教えてくれます！,https://youtu.be/YE4HIkFFh8c,著者：アラン・ピーズ、バーバラ・ピーズ「話を聞かない男、地図が読めない女」の解説動画です。まとめ方がわかりやすいです。,https://youtu.be/VUm7z6SEd_k,メンタリストDaiGoが「男脳」「女脳」の違いをイラストで説明してくれています。,https://youtu.be/BFjglhnWUhQ,「男性脳と女性脳の違いでわかる〇〇！？」メンタリストDaiGo著の解説動画です。,https://youtu.be/7a7yPglPnoY,「男性脳」「女性脳」の見分け方をおしえてくれます。,1
瞑想のまとめ動画,瞑想の効果、やり方を教えくれる動画を集めてみました。,https://youtu.be/ihi8sSZJDWc,メンタリストDaiGo「究極のマインドフルネス」をわかりやすく要約しています。,https://youtu.be/QOvNLjKi_V0,メンタリストDaiGoが瞑想に隠された31の心理効果を解説しています。,https://youtu.be/OK31TqFE44A,メンタリストDaiGoが瞑想の方法を解説しています。,https://youtu.be/5rFhGB-R1j8,「マインドフルネス　ストレス低減法」　ジョン・カバットジンの解説動画です。「悩み」「不安」が一消える方法が学べます。。,1
ファクトフルネスの解説動画,ファクトフルネスの解説動画を集めてみました。,https://youtu.be/RwQ_Yp8cDlI,FACTFULNESS(ファクトフルネス) 10の思い込みを乗り越え、データを基に世界を正しく見る習慣を解説してくれています。,https://youtu.be/zGKLgcTn7YY,中田敦彦がファクトフルネス①を解説してくれています。,https://youtu.be/3L-JFZraI_I,中田敦彦がファクトフルネス②を解説してくれています。,https://youtu.be/WRq1A_jeLKQ,中田敦彦がファクトフルネス③を解説してくれています。,1
就活の面接攻略法,就活面接の対策動画を集めてみました。,https://youtu.be/hOOOs9BwH68,面接対策！入室から退出まで解説してくれています。,https://youtu.be/q-EXXBb98T8,面接官が評価するポイントを徹底解説してくれています。,https://youtu.be/HixTFchUFyI,優秀なのに落ちる就活生の面接【6つの特徴】知れば逆に内定が取れます。,https://youtu.be/bjVObDJDUc0,オンライン面接・ウェブ面接対策をおしえてくれます。,6
就活メイクの攻略法,基本メイクから業界別メイクまでおすすメイクを集めてみました。,https://youtu.be/SZRTB4xom3U,就活メイク！清潔感溢れ出るしっかりして見えるナチュラルメイクを解説してくれます。,https://youtu.be/oaxbPsDMGW4,就活メイクを丁寧に解説してくれています。,https://youtu.be/P7xW13f9xw4,顔採用に勝つ!面接ウケ抜群の就活メイクを元美容部員が伝授してくれています。,https://youtu.be/usIwOwLfk3g,真面目な就活メイクを教えてくれます。,6
マスクの作り方,簡単に作れるマスクからおしゃれマスクまで作り方学べます！,https://youtu.be/EpshpNbmiFk,女性のためのきれいマスクの作り方★かんたんに内側をすっきり仕上げるコツがわかります。リモラブ風！,https://youtu.be/4LaMR2kdu0s,きれいで簡単★新しい基本の折り上げマスクの作り方★口がマスクにつかない上下なしマスクを教えてくれます。,https://youtu.be/wP24x9mjKh4,シンプルな立体マスクの簡単な作り方（4サイズ）を,https://youtu.be/oDFgsV1m5V0,タック入り 立体マスクの作り方 【大人用】型紙から作るキレイな形のマスクがつくれます。,6
マスクメイクの仕方,崩れにくいマスクメイクのテクニックを教えてくれます！,https://youtu.be/hRour8fvwBU,夜まで崩れない！前髪も崩さない！潤うのに崩れないマスクメイク！教えてくれます。,https://youtu.be/im-zUVF8kgk,プロの裏技公開!!マスクをしても崩れないメイクを教えてくれます。,https://youtu.be/CJaHl5agCLs,擦っても崩れない最強マスクベースメイク！教えてくれます。,https://youtu.be/RtqG7R2U3EI,今まで崩れた事ない毎日マスクメイク！大変貌しています！,6
マスクにつかないリップの選び方,マスクにつかない人気のリップを紹介します！,https://youtu.be/dlUJ2FplElk,マスクに付かないリップ５選！検証してくれています。,https://youtu.be/yzM94tujJ0A,コンフィッティリップ！マスクにつかない！乾燥しない！かわいい！全色レビューしてくれています。,https://youtu.be/-Idav3gLyX0,プチプラだけで最強リップの格付けしています。,https://youtu.be/dlUJ2FplElk,マスクに付かないリップ５選！を検証しています。,6
Excelの使い方,初心者でも大丈夫！Excelの使い方を学べます。,https://youtu.be/HEhDNoklIT0,Excelの使い方・初心者入門講座、最初から丁寧に学べます！,https://youtu.be/Ay1cpehksq8,職場で恥をかかない為に最低限覚えておきたいことを教えて,https://youtu.be/ocRC2Acjm1A,真似して操作できる初心者おすすめに動画です。。,https://youtu.be/wY-u3gyWqwQ,おささんの解説を見て苦手なExcelの考え方がわかるようになりました。,6
Wordの使い方,初心者でも大丈夫！Wordの使い方を学べます。,https://youtu.be/46018ZWM2uU,Wordの使い方・初心者入門講座、最初から丁寧に学べます！,https://youtu.be/QixH7SwAalM,Word使い方。初心者向け入門・基礎が学べます。,https://youtu.be/zMwkJ6kKNA4,Word使い方の全て（文字の揃え方・検索と置換・画像の挿入・余白機能・便利技）学べます。,https://youtu.be/jb3KLsCeOzI,初心者/シニア向け　初めてのWordを使う起動から作成して保存し方まで学べます。,6
PowerPoint作成方法,初心者でも大丈夫！PowerPointの使い方を学べます。,https://youtu.be/DdKSvzLkQVA,PowerPoint使い方・初心者入門講座、最初から丁寧に学べます。,https://youtu.be/w3s5Tfhqsl0,プロ並みのチラシをパワーポイントで作る方法が学べます。,https://youtu.be/zisBHN5AetY,ワポ作成が苦手な人必見です。5分で分かる！きれいな資料の作り方が学べます。,https://youtu.be/tq3tDmeAUyY,PowerPointを使ったチラシの作り方が学べます。,6
ユニクロコーデはこれで決まり,ユニクロの上手な着こなしを紹介してくれます。,https://youtu.be/dwoDV8OQm28,シンプルで簡単！着まわしコーデご紹介！着回しの教科書になってます。,https://youtu.be/8yc8RgOmEFo,全部2500円以下、着回し12コーデ！低身長アラフォーが着る冬服、大人コーデが学べます！,https://youtu.be/sGnt0saIqXs,藤森慎吾氏が森のニーナちゃんユニクロコーデをしてくれています。,https://youtu.be/L9f-SYsCjyc,CanCamスタイリストがユニクロ春の新作を大公開してくれています。,6
GUコーデはこれで決まり！,ぐの上手な着こなしを紹介してくれます。,https://youtu.be/873jkUYgBdE,GUの新作でたくさんコーデ組んでいます！,https://youtu.be/P-NuK-cFO0c,約２万円で２週間分！着回し抜群アイテムで14コーデです。,https://youtu.be/Wiu5TZelQ6A,ねにさん爽やかで綺麗めなファッションで参考にしてます！,https://youtu.be/2LaRw0yD6IY,きりちゃんの可愛い綺麗めコーデです。,6
箱根旅行はここがおすすめ！,箱根のおすすめ観光スポット、旅館などを紹介しています。 #旅行,https://youtu.be/sAjS2IEmEhI,箱根の絶対に訪れるべき観光&グルメスポットを11選ご紹介してくれています！,https://youtu.be/zl75moi4hYw,「客室露天風呂がついていたり、お部屋食だったり、なるべく人に会わずに過ごせる旅館に泊まりたい！」という人にぴったり！の旅館を紹介してくれています。,https://youtu.be/eH8Z0QrxS7s,箱根を日帰りデート！観光名所、おすすめランチ、撮影スポットをぐるり紹介してくれています。,https://youtu.be/fNRzALkaRYk,箱根湯本駅で食べ歩きの動画！とっても綺麗に撮れています。,5
金沢旅行はここがおすすめ！,金沢のおすすめ観光スポット、旅館などを紹介しています。 #旅行,https://youtu.be/-YfzILPxi6Q,金沢に初めて旅行や観光する方に向けてオススメの観光スポットをご紹介してくれています,https://youtu.be/oE8RH6js9xo,泊2日の金沢旅行。のどぐろのお寿司や海鮮丼、ブリしゃぶなど海鮮がとても美味しそう～！グルメがメインの動画,https://youtu.be/By5k59VpGFE,金沢グルメを堪能！金沢の海鮮はやっぱり美味しそう！,https://youtu.be/K9vc-juTwd8,地元出身者がオススメする秘密の観光ルート！ひがし茶屋街と近江町市場の間の老舗や名所巡り,3
世界の絵画の解説サイト,世界の名画を解説してくれます。,https://youtu.be/GOjyQ2muPPU,中田敦彦がゴッホを解説してくれます。,https://youtu.be/zqDC7z1SgEo,サイゼリヤの西洋絵画の意味〜知っておいて損のない名画の解説,https://youtu.be/W4p1h0Km718,絵画は美しいだけでなく、謎めいてもいるもの。巨匠たちが名画に加えた小さな一筆が、巧妙な暗号として後世に残っているんです。,https://youtu.be/IBF51fQSRxo,世界の超有名アート絵画３０選を徹底解説して,3
統計学を知る,AIプログラミングやデータ分析には必須の統計学について、私が入門として、特にお世話になった動画を紹介します！ #データ分析,https://youtu.be/quFWgEQZQaM,先ずはこれを見て統計学とビジネスの関係を把握しましょう！,https://youtu.be/ubPWXqbSa4w,統計学の最初のキーワード『標準偏差』について理解を深めるのにおすすめです！,https://youtu.be/VCJbyEuK5yQ,高校数学の問題を解くみたいに理解できると思います！,https://youtu.be/Bj8fkq533Dc,推定・検定について、分かりやすさに定評のあるヨビノリたくみ先生が、丁寧に教えてくれています！,1
Seriaで気になる商品紹介！,Seriaおすすめの商品紹介！日用品、消耗品、おしゃれな雑貨が選べます。,https://youtu.be/iLt-Rpe7gXw,Seriaの新商品を紹介してくれています。,https://youtu.be/9M-eszrA7Pc,森三中が教えてくれるSeriaの商品！,https://youtu.be/tFPc811rw3o,何回もリピートしている日々の生活に欠かせないキッチン用品や日用品（消耗品）など愛用アイテムを紹介してくれています。,https://youtu.be/RIIERQpzRGs,部屋が片付くSeriaの商品を紹介してくれています。,6
ダイソー買って良かった商品紹介！,ダイソーの人気の商品を紹介！コスパもよくかわいいデザインの商品を選べます！,https://youtu.be/zc6iTT3x840,買って良かったダイソーの商品を紹介してくれています。,https://youtu.be/1qXs0G061aE,知らなきゃ損するダイソーのコスメグッズを紹介してくれています。,https://youtu.be/l8wZSA2WNcw,韓国インテリア風のおしゃれな商品、SNSで話題になっている商品を中心にまとめてくれています。,https://youtu.be/X4T5bcJe96o,収納のプロが特にイチ推しの定番収納アイテム5選をご紹介しました,6
３COINS買ってよかった商品紹介！,幅広い女性たちに大人気の３COINS！人気のアイテムを厳選して紹介！,https://youtu.be/6BfzTe_tVBA,とっても可愛いキッチンツールや収納ケースなど購入したので 実際に使って紹介してくれています。,https://youtu.be/ZAO6_m5fo_c,３COINSで買って良かったものを紹介してくれています。,https://youtu.be/PcIJtgdeH7o,おしゃれなお部屋インテリアや収納グッズ、ランドリーグッズなどを紹介しました！可愛くて便利なアイテムです。,https://youtu.be/-t8eT1_ucRc,３coinsで可愛い韓国インテリア雑貨を紹介してくれています。,6
相対性理論を分かりやすく,誰もが聞いたことがある相対性理論について、あまり知らないそこのあなた！この動画を視聴すれば、相対性理論の概要が分かるようになります！！,https://youtu.be/voFHToRM4xI,先ずはこの動画を見るべきです！たくみ先生がとても分かりやすく、身近な例を挙げて教えてくれます！,https://youtu.be/a9mftwPFWFU,わかりやすいイラストでイメージしやすくなると思います！,https://youtu.be/-Jxsr6U3_Yo,アインシュタインの歴史を短時間で速修するにはもってこいの動画です。,https://youtu.be/f5ev3vIxK4Q,こちらもアインシュタインの生い立ちを説明してくれて、より相対性理論が馴染み深くなるかもしれません。,1
カルディ好きのユーザーが選ぶおすすめ,カルディが大好きなユーザーが選んだ商品を紹介してます。,https://youtu.be/TLGJPpXn-Ts,はるあんちゃんのおすすめの商品です。,https://youtu.be/c-lZhAmT1Yg,カルディで買ってよかったお気に入りの商品をランキング形式で紹介しています！,https://youtu.be/ZMKZifqo64U,この動画を見たら、カルディにすぐに行きたくなりました。,https://youtu.be/8M1xc_vUgrk,主婦目線でカルディ商品を紹介してくれています。,5
